"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","08-24-2022","08-24-2022","CLEARANCE RELATED","0126379-104-DSGP02 - HARBOR PALMS INFRASTRUCTURE IMPROVEMENTS - PERMIT","",".pdf","396.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1464277.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","08-18-2022","08-18-2022","CLEARANCE RELATED","0126379-104-DSGP02 - HARBOR PALMS INFRASTRUCTURE IMPROVEMENTS - EMAIL","",".pdf","1.3 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1463125.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","08-18-2022","08-18-2022","CLEARANCE RELATED","0126379-104-DSGP02 - HARBOR PALMS INFRASTRUCTURE IMPROVEMENTS - CHECKLIST","",".pdf","318.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1463123.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","08-18-2022","08-18-2022","CLEARANCE RELATED","0126379-104-DSGP02 - HARBOR PALMS INFRASTRUCTURE IMPROVEMENTS - APPLICATION","",".pdf","1.4 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1463122.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-13-2022","07-13-2022","CLEARANCE RELATED","0126379-100-DSGP - PARTIAL CLEARANCE 10 - REVISED APPLICATION","",".pdf","359.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1451362.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-13-2022","07-13-2022","CLEARANCE RELATED","0126379-100-DSGP - PARTIAL CLEARANCE 10 - PERMIT","",".pdf","174.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1451357.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-13-2022","07-13-2022","CLEARANCE RELATED","0126379-100-DSGP - PARTIAL CLEARANCE 10 - COVER LETTER","",".pdf","76.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1451361.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-13-2022","07-13-2022","CLEARANCE RELATED","0126379-100-DSGP - PARTIAL CLEARANCE 10 - CORRESPONDENCE","",".pdf","387.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1451360.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-13-2022","07-13-2022","CLEARANCE RELATED","0126379-100-DSGP - PARTIAL CLEARANCE 10 - APPLICATION","",".pdf","14.5 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1451358.1"
"6521417","OLDSMAR WATER SYSTEM","351 LAYFAYETTE BLVD","OLDSMAR","PINELLAS","SWD","07-01-2022","08-10-2022","MONTHLY OPERATION REPORTS","2022_07_MOR","",".pdf","288.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/32.1462169.1"
