"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","PERMIT - FINAL","CS52-0033689-391-DWC/CM-HD SUPPLY-PERMIT","",".pdf","336.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116660.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","CLEARANCE RELATED","CS52-0033689-391-DWCCM-HD SUPPLY-LOA","",".pdf","692.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116460.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","CLEARANCE RELATED","CS52-0033689-391-DWCCM-HD SUPPLY-LIFT STATION REPORT","",".pdf","546.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116459.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","CLEARANCE RELATED","CS52-0033689-391-DWCCM-HD SUPPLY-EMAIL CORRESPONDENCE","",".pdf","13.3 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116458.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","CLEARANCE RELATED","CS52-0033689-391-DWCCM-HD SUPPLY-CHECKLIST","",".pdf","253.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116457.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-11-2022","08-11-2022","CLEARANCE RELATED","CS52-0033689-391-DWCCM-HD SUPPLY-APPLICATION","",".pdf","930.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116456.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-10-2022","08-10-2022","CONSENT ORDER","OGC FILE NO.18-0112 Q3 IN-KIND CORRESPONDENCE","",".pdf","624.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1118619.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","08-01-2022","08-01-2022","INSPECTION RELATED","PRETREATMENT - IN COMPLIANCE LETTER","",".pdf","170.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113856.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","PERMIT - FINAL","CS52-0033689-392-DWCCL-72ND TERRACE AND 70TH AVENUE-PERMIT","",".pdf","399.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113339.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","INCOMING CORRESPONDENCE","OGC FILE NO. 18-0112 QUARTERLY REPORT","",".pdf","228.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113474.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-393-DWCCM-72ND TERRACE AND 70TH AVENUE-PERMIT","",".pdf","421.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113496.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-393-DWCCM-72ND TERRACE AND 70TH AVENUE-CLARIFICATION EMAILS","",".pdf","404.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114092.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-393-DWCCM-72ND TERRACE AND 70TH AVENUE-CHECKLIST","",".pdf","255.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114096.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-393-DWCCM-72ND TERRACE AND 70TH AVENUE-APPLICATION","",".pdf","963.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114095.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-392-DWCCL-72ND TERRACE AND 70TH AVENUE-CLARIFICATION EMAILS","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114092.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-392-DWCCL-72ND TERRACE AND 70TH AVENUE-CHECKLIST","",".pdf","254.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114098.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-29-2022","07-29-2022","CLEARANCE RELATED","CS52-0033689-392-DWCCL-72ND TERRACE AND 70TH AVENUE-APPLICATION","",".pdf","961.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1114097.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-22-2022","07-22-2022","WARNING LETTER","WL22-98DW SSO  (MAY, JUNE, JULY 2022)","",".pdf","623.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1110337.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-17-2022","07-22-2022","NONCOMPLIANCE RELATED","ABNORMAL EVENT SSO; 1000 GALLONS; 11130 53RD AVE N","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1110487.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-17-2022","07-22-2022","INCOMING CORRESPONDENCE","ABNORMAL EVENT SSO; 1000 GALLONS; 11130 53RD AVE N","",".pdf","165.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1110487.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-14-2022","07-14-2022","OUTGOING CORRESPONDENCE","PRETREATMENT - SEWER USE ORDINANCE FINAL APPROVAL","",".pdf","171.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1107757.1"
"FL0040436","SOUTH CROSS BAYOU WRF","7401 54th Ave N ","ST PETERSBURG","PINELLAS","SWD","07-07-2022","07-22-2022","NONCOMPLIANCE RELATED","ABNORMAL EVENT SSO; 200 GALLONS; 12750 WALSINGHAM ROAD","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1110491.1"
