"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","08-13-2022","08-18-2022","OUTGOING CORRESPONDENCE","ABNORMAL EVENT SSO; 1000 GALLONS; 13505 WOODSIDE ; MEMO","",".pdf","242.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1118539.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","08-13-2022","08-18-2022","NONCOMPLIANCE RELATED","ABNORMAL EVENT SSO; 1000 GALLONS; 13505 WOODSIDE ; MEMO","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1118539.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","08-11-2022","08-12-2022","OUTGOING CORRESPONDENCE","ABNORMAL EVENT SSO; 1,000 GALLONS; 10931 BURNING BUSH TERRACE, LAND O LAKES; MEMO","",".pdf","242.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116939.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","08-11-2022","08-12-2022","NONCOMPLIANCE RELATED","ABNORMAL EVENT SSO; 1,000 GALLONS; 10931 BURNING BUSH TERRACE, LAND O LAKES; MEMO","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1116939.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","07-01-2022","08-11-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUL MO PART B (706960)","",".doc","188.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1120833.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","07-01-2022","08-11-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUL MO PART A (706960) R-001","",".pdf","40.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1120832.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","06-14-2022","06-14-2022","CLEARANCE RELATED","CS52-026257-036-DWCCG-16IN FORCE MAIN UPGRADES FINAL CLEARANCE- APPLICATION&EMAIL","",".pdf","1.7 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1099630.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","06-01-2022","07-08-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUN MO PART B (699048)","",".doc","182.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113369.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","06-01-2022","07-08-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUN MO PART A (699048) R-001","",".pdf","40.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1113370.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","05-10-2022","05-10-2022","OUTGOING CORRESPONDENCE","PRETREATMENT - ANNUAL REPORT REVIEW","",".pdf","154.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1090762.1"
"FLA012741","SHADY HILLS SUBREGIONAL WWTF","14220 Hays Rd ","SPRING HILL","PASCO","SWD","05-01-2022","06-21-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAY MO PART B (696125)","",".doc","187.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1104865.1"
